bugid,summary,component
808252,home and end key not working on web pages opened in firefox browser,Keyboard Navigation
1389748,[Linux] default browser firefox not working,Shell Integration
1588476,Full page scrolling screenshot not working for pdf,PDF Viewer
1609740,"Redhat Linux EL 6.10 Firefox v68, Set as Desktop Background not working - Dialog appears and allows but image not actually set",Shell Integration
1617503,Bookmark button not working after system returning from standby,Bookmarks & History
1288908,Thumbnail in New Tab Page stops working as links after closing some of them,New Tab Page
1322218,URL auto-completion stops working after unlocking screen,Address Bar
1402396,Homepage-Shortcut not working in awesomebar,Keyboard Navigation
1509706,"when I have multiple Tabs open, sometimes when I navigate through them, the moment I click the Tap, it closes ungracefully. It often happens when am working on something which does not need to be closed.",Tabbed Browser
1561619,[i3wm] url bar not working upon start,Address Bar
539420,Keyboard Shortcut: Alt + D (Select Location Bar) sometimes suddenly stops working,Keyboard Navigation
548325,Flex Datagrid up/down arrow keys stop working after browser loses focus,Keyboard Navigation
569063,flash sound stops working until a restart of the browser,General
570211,Dead keys not working on WYSIWYG editors,General
575165,"Mac right click on track pad not working, pull down tab at far right not working.",General
576870,some FireFox functions not working after upgrade to 3.6.6. cmd-w not working,Tabbed Browser
582444,Javascript not working,General
584274,Password reminder not working,General
585421,function keys not working,General
586542,"every time updates load yahoo toolbar loads,if not disabled, then right click stops working no copy paste function",Toolbars and Customization
586846,The secondary click is not working properly,Keyboard Navigation
589530,copy & paste of text not working properly on eBay,General
605694,Remove {all} cookies not working,Preferences
606808,plugin container stops working (adobe x64 plugin) on Minefield x64 windows 7,General
612282,"Items of ""List All tabs"" are without caption after working with many tabs",General
612560,Firefox4beta7: no flash plugin working anymore,General
612963,HID wireless left Mouse Button don't work fine when Firefox is working,General
617285,Java Script history.go() Not working,General
617327,Java plug-in is not working properly,General
618639,Feedback buttons not working when clicked on,General
624142,'View in Mac App Store' buttons not working for web links,General
627022,proxy preferences is not working (if proxy is a SSH tunnel),General
637302,Firepass SSL VPN Not Working,General
640976,Middle mouse button scroll not working in FF4.0 on Thinkpad X61s,General
643706,Wheel scroll is not working in Firefox window on non-primary display,General
646877,Focus on input not working,General
650346,seesmic web client stop working after 15/April update,General
655511,USING FIREFOX v4.0.1.0. Non working ebay page listing internal LINKS & ANCHORS.,General
655547,The buttons are not working properly,General
671516,WPAD not working when using gnome system proxy settings,Preferences
672608,301 redirect no longer working properly when using www. prefix,General
680887,Versions from 3.6.4 - 7b1 not working - no window - only process,General
687131,HTML5 Youtube Player not working on old profile after 6.0.2 update,General
693224,"Minimize, maximize, close buttons stop working after startup",Toolbars and Customization
698421,Halloween Google doodle image not working properly,General
700056,Drop down selections not working,General
702953,text decoration on inline images not working (espacialy link underlining),General
705445,Uploading a torrent file onto NAS Iomega StorCenter iX2 not working,General
709089,Spell check stops working while typing.  Have to disable enable to get it working.,General
787978,"Copy, Cut & Paste options (Cmd C, X & V, respectively) are not operating (either keyboard command or Menu command) when using Firefox ver 15 (Mac) in GoDaddy's Quick Shopping Cart template software. They were working in the previous Firefox version",Keyboard Navigation
808407,Tab scroll button stops working,Tabbed Browser
844813,Shortcut for «Show all bookmarks» (Shift+Cmd+D) is not working in Firefox 19.0 under OS X Mountain Lion,Keyboard Navigation
973808,Drag and Drop not not working,Tabbed Browser
977994,"""Recently Closed Tabs"" & ""Recently Closed Windows"" not working",Session Restore
995152,"Option ""Open new windows in a new tab instead"" not working from within Visual Studio",Tabbed Browser
1028717,Session Restore Not working with corrupted sessionstore file - SessionStartup: ... un-parse-able JSON: SyntaxError: JSON.parse: unexpected character at line 1 column 1 of the JSON data,Session Restore
1050856,Menu locked and non-working scrolling in one window after restoring tabs,Tabbed Browser
1058058,Popup menus stop working in Firefox UI and on all web pages with X11,Menus
1111021,"system audio stops working after using firefox for 1-3 hours, closing firefox immediately fixes this",General
1144019,browser.startup.page is not working,Tabbed Browser
1196747,Smart card not working when multiple cryptographic providers used,Security
1210692,Graphical glitch and not working toolbar on OS X 10.10.4,Tabbed Browser
1215962,Dropdown menus stop working on Linux Ubuntu when you open a website through the Dash,Menus
1271083,Cmd-Shift-] stops working for tab navigation if keycode 221 is handled by the page itself,Tabbed Browser
1346787,"""Show my windows and tabs from last time"" is not working.",Session Restore
1349302,Wrong casing in 'intl.accept_languages' pref causes Accepted Languages selection dialog to stop working,Preferences
1356295,Ctrl-0 is not working when zoom.minPercent is higher than default zoom (100%),General
1462875,"Firefox incognito mode doesn't working , All session in normal browser accessible in incognito mode",Private Browsing
1487790,Bookmark Sync not working,Sync
1516226,Firefox unloads WebExtentions working with webpages after a while.,Extension Compatibility
1517439,Bookmark star is not always working,Sync
1578124,Sync not working for bookmarks and themes,Sync
1631296,Inline style element sourcemaps not working in Firefox,Untriaged
1493103,"[Mac 10.14] Data Migration from Safari is not working due to lack of ""Full Disk Access"" permission",Migration
1631483,save to pocket button not working edge case,New Tab Page
1020254,Searching for the same word twice in a pdf is not working properly.,PDF Viewer
1387383,"Save page not working on first try, incorrect saving result on second try",File Handling
1453378,"""Show your windows and tabs from last time"" not working",Session Restore
1461148,Clicking library icon in toolbar does not open and causes clicked links to stop working,Toolbars and Customization
1537738,Keyboard navigation selection is not working inside Customize,Toolbars and Customization
1540311,Screenshot feature not working with touch screen,Screenshots
1545336,Currency conversion not working,Address Bar
1568391,HOME/END key not working in addressbar,Address Bar
1583826,Windows Narrator not working on Tracking Protection Panel,Disability Access
1609225,Get browser.cache.disk.parent_directory working,Enterprise Policies
1171399,Left button not working in Search Bar,Search
1345844,Magnet links not working with Firefox from Mozilla on Ubuntu and e10s enabled,File Handling
1423643,Mouse scrolling not working in bookmark dropdowns when folder is expanded,Menus
1507091,Home/newTab Web Search suggestion(OneOff dropdown) stops working if tab is detached,New Tab Page
1584606,Search keywords not working in my profile,Address Bar
371514,'Set as desktop background' not working in XFCE 4.4,Shell Integration
416909,Scrolling not working when creating a new tab with key bindings and going to a given location while navigation toolbar is hidden,Keyboard Navigation
472728,Several parts of the app stop working (likely due to bug 467747),General
478535,Search Bar not working and cannot add new search engines,Toolbars and Customization
539502,Address bar search/autocorrect not working after updates,Toolbars and Customization
539539,Regression: Text editing shortcuts no longer working in Gmail,General
566021,"When an add-on is outdated / no longer maintained or working, suggest alternatives",General
574653,"RFE: Display ""Offline"" in windows title when Firefox is working offline",General
607259,"Firefox crashes OOM, high cpu and ram load, stop script window is not working",General
608157,latest Adobe Flashplayer not uploading not working,General
617564,setConsumeRollupEvent not working in mac for FF 3.6.12 while mouse is down. i think waits for after click,Menus
645189,"about:Home, Home Page not working",General
781484,scroll using mouse wheel or two finger gesture stops working,General
904341,Content-blocking Add-Ons and Tracking Protection not working with background thumbnails,General
929981,"After drag&drop a downloaded item from Download Manager to another folder, open containing folder functionality is not working",Downloads Panel
986350,"""Email Link...""/mailto links stop working when the configured email program has been uninstalled, no user feedback provided",File Handling
1011699,"Custom keyboard  shortcut to ""Browser Toolbox"" not working",Keyboard Navigation
1015931,Dev Hub video volume controller is not working properly,General
1061280,File save not working for some websites with long file names,File Handling
1113573,Private browsing not working on some computers,Private Browsing
1126762,Open containing folder not working on paused downloads.,Downloads Panel
1179710,"Book mark, Download and Menu buttons not working",Menus
1188567,"""Go To"" pop-up calendar function is not working in Firefox",General
1198123,Specifying videoSource with getUserMedia isn't working,Site Permissions
1198975,onBeforeUnload confirmation dialog disappears when changing tabs and setInterval/setTimeout stops working,Tabbed Browser
1221820,Alt+Click on Bookmark or Back/Forward button not working with ui.key.accelKey=18,Menus
1266708,youtube slidebar isn't working properly. It goes ups and down autometically.,Keyboard Navigation
1271085,CTRL+C for images not working on several sites,Keyboard Navigation
1273117,Keyboard shortcuts are not working properly in the Saved Logins dialog,Preferences
713192,test_contextmenu.html: fix some nits I noticed while working on bug 712871,General
1427104,Allow Firefox to send crash reports to Mozilla option not working,Preferences
683851,"After automatic update to 6.0.1, the ""Warn me when closing multiple tabs"" check-box is not working",Preferences
1482464,Unpin stops working in Top Sites / TypeError: e.identifier is null,New Tab Page
1545517,The 'cnrtl-tlfi-fr' search engine is not working due to being http only,Search
1523488,Get testing working with ChromeUtils.import no longer creating globals,New Tab Page
1100346,about window - updates not downloaded/working if update deactivates add-on/addon like language packs/makes incompatible,General
826729,in-content PB view looks weird and has non-working context menu,Downloads Panel
1571680,"[Protections Panel] Toggle switch label in ""Site Not Working?"" view is not displayed",Site Identity
521265,10/8 trunk nightly - aero peek not working / js console errors,General
524683,word-break: break-all; is not wrapping text though it is working in Internet Explorer,General
688376,History button is not working properly in mozilla,Menus
731103,QTP FireFox Extension Is Not Working With Version 6.0 And 10.0,Extension Compatibility
760921,navigating not working,Untriaged
787025,login functionality not working properly,Untriaged
793454,Cookie deletion not working on FF15.0.1 - Win,Security
806134,LiveConnect not working in Firefox 16.x,Untriaged
808283,Attachment is not working for windows vista platform,Untriaged
816795,Search option not working,Untriaged
820771,gmail mail s not working,Untriaged
871304,search functionality is not working properly,Search
960472,firefox is not working,Untriaged
1117272,"Email link option from File menu,  not working when E10S enabled",Untriaged
1210544,Learn more link is not working for Search Suggestion Opt-in,Search
1276718,my home page is not working properly,Sync
1342679,Tab sync to/from desktop working only very intermittently,Sync
1435384,Registration not working with facebook,General
1476354,URL AutoFill not working as expected,Address Bar
1526864,Display message in nightly about dark theme is not working as expected,New Tab Page
1624581,payments not working,WebPayments UI
1597727,Preference based MozParams aren't working for the Google search engine after the switch to WebExtensions,Search
1566985,"[Protections Panel] ""Site Not Working?"" link should be hidden when TP toggle is OFF",Site Identity
365439,Delete keyboard shortcuts are not working places organizer,Bookmarks & History
1521495,QuantumBar stops working after entering/exiting customise mode,Address Bar
1006360,Sync not working on Firefox 29 (it's blue and continuously rolling) after update to the new Firefox Sync,Sync
306441,Manage bookmarks Dialog stops working after 1st time,Disability Access
787740,Command+c/v and Tab not working on FF16 for Mac,Untriaged
854356,Flash Player is not working,Untriaged
894444,PDF viewer presentation mode Press  ESC button is not working,PDF Viewer
981375,"Radio button for ""Always ask me where to save files"" in Options section is not working",Untriaged
992765,navigation is not working,Untriaged
1064244,"firefox sync stops working after few days, weekly server maintenance seems to fix it for few next days again",Sync
1171877,[Windows 10] Taskbar context menu is not working properly when Firefox is launched with -no-remote,General
1363570,One-off search buttons: Alt-Up/Down isn't working on Linux,Address Bar
1455827,proxy policy is not working as expected,Enterprise Policies
1588105,"tabbed browsing can be broken (tab switching not working, documents not loading)",Tabbed Browser
1547291,prisjakt search engine isn't working,Search
327453,cannot add RSS feed to bookmarks (live bookmarks not working),Bookmarks & History
327648,Drag and drop feedback for menus only working on Windows 1.8 branch,Bookmarks & History
248973,Find-in-page dialog stops working when different tab is selected,General
1383599,browser.newtabpage.enabled = false is not working,New Tab Page
56892,Synaptics touchpad scrolling not working,General
878857,Client search functionlity is not working,General
1165255,Open 'New Private Tab' isn't working anymore,Private Browsing
1189626,new tab icon is not working properly,New Tab Page
1203807,plugin container stopped working with exception code 0x80000003,Untriaged
1217904,Nightly's session restore is not working after updates,Session Restore
1273593,firebug window zoom out works but Zoom in not working,Extension Compatibility
1284154,Perapera add-on is not working in e10s (multiprocess firefox),Extension Compatibility
1292501,calendar is not working,Untriaged
1292599,browser.helperApps.neverAsk.openFile not working,Preferences
1392514,container tab not working in private mode,Tabbed Browser
